Name on the Register,url,Register_number,Coordinates,Neighborhood,Description,Link_works,wiki,latitude,longitude,geometry
Women's Liberation Center,https://en.wikipedia.org/w/index.php?title=Women%27s_Liberation_Center&action=edit&redlink=1,10000650,40°44′35″N 73°59′56″W,,,0.0,"The women's liberation movement (WLM) was a political alignment of women and feminist intellectualism that emerged in the late 1960s and continued into the 1980s primarily in the industrialized nations of the Western world, which effected great change (political, intellectual, cultural) throughout the world. The WLM branch of radical feminism, based in contemporary philosophy, comprised women of racially- and culturally-diverse backgrounds who proposed that economic, psychological, and social freedom were necessary for women to progress from being second-class citizens in their societies.Towards achieving the equality of women, the WLM questioned the cultural and legal validity of patriarchy and the practical validity of the social and sexual hierarchies used to control and limit the legal and physical independence of women in society. Women's liberationists proposed that sexism—legalized formal and informal sex-based discrimination predicated on the existence of the social construction of gender—was the principal political problem with the power dynamics of their societies.
In general, the WLM proposed socio-economic change from the political left, rejected the idea that piecemeal equality, within and according to social class, would eliminate sexual discrimination against women, and fostered the tenets of humanism, especially the respect for human rights of all people. In the decades during which the women's liberation movement flourished, liberationists successfully changed how women were perceived in their cultures, redefined the socio-economic and the political roles of women in society, and transformed mainstream society.",40.4435,-73.5956,POINT (-73.5956 40.4435)
Women's National Republican Club,https://en.wikipedia.org/wiki/Women%27s_National_Republican_Club,13000040,40°45′34″N 73°58′39″W,Midtown Manhattan,Georgian home of early women's political organization,1.0,"The Women's National Republican Club is the oldest private club for Republican women in the United States, and was founded by Henrietta Wells Livermore in 1921.The club grew out of the earlier women's suffrage movement in New York which led to the Nineteenth Amendment. The club built its third and current home at 23 West 51st Street, New York City in 1934.  That Neo-Georgian style building was built on the former site of Andrew Carnegie's home and was listed on the National Register of Historic Places in 2013.The club continues to serve its members with guest rooms and dining, in addition to political lectures.  It allows men to join as associate members.",40.4534,-73.5839,POINT (-73.5839 40.4534)
110th Street–Cathedral Parkway Subway Station (IRT),https://en.wikipedia.org/wiki/Cathedral_Parkway%E2%80%93110th_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line),04001019,40°48′14″N 73°58′01″W,Morningside Heights,Subway station (1 train),1.0,"The Cathedral Parkway–110th Street station is a local station on the IRT Broadway–Seventh Avenue Line of the New York City Subway. Located at the intersection of Cathedral Parkway and Broadway in Morningside Heights, Manhattan, it is served by the 1 train at all times.
The 110th Street station was constructed for the Interborough Rapid Transit Company (IRT) as part of the city's first subway line, which was approved in 1900. Construction of the line segment that includes 110th Street began on June 18 of the same year. The station opened on October 27, 1904, as one of the original 28 stations of the New York City Subway. The station's platforms were lengthened in 1948 to accommodate ten-car trains, and the station was renovated in the 2000s.
The 110th Street station contains two side platforms and three tracks; the center track is not used in regular service. The station was built with tile and mosaic decorations. The platforms contain exits to 110th Street and Broadway and are not connected to each other within fare control. The original section of the station is a New York City designated landmark and listed on the National Register of Historic Places.",40.4814,-73.5801,POINT (-73.5801 40.4814)
69th Street Transfer Bridge,https://en.wikipedia.org/wiki/New_York_Central_Railroad_69th_Street_Transfer_Bridge,03000577,40°46′44″N 73°59′26″W,Riverside Park,,1.0,"The 69th Street Transfer Bridge, part of the West Side Line of the New York Central Railroad, was a dock for car floats which allowed the transfer of railroad cars from the rail line to car floats which crossed the Hudson River to the Weehawken Yards in New Jersey. Its innovative linkspan design kept the boxcars from falling into the river while being loaded.After it fell into disuse, it was in danger of being torn down and removed, but around the year 2000, during renovations of Riverside Park, following the example of Gantry Plaza State Park, it became a prominent feature of the park.  It was listed on the National Register of Historic Places in 2003.Similar facilities are in use between 65th Street Yard in Brooklyn and Greenville Yard in Jersey City by the New York New Jersey Rail, LLC, which still operates car floats across Upper New York Bay.
As of October 2014, the New York City Department of Parks is in the design phase of a project to reconstruct, restore and adaptively reuse the 69th Street Transfer Bridge.

",40.4644,-73.5926,POINT (-73.5926 40.4644)
72nd Street Subway Station (IRT),https://en.wikipedia.org/wiki/72nd_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line),04001017,40°46′42″N 73°58′57″W,Upper West Side,"Subway station (1, ​2, and ​3 trains)",1.0,"The 72nd Street station is an express station on the IRT Broadway–Seventh Avenue Line of the New York City Subway, located at the intersection of Broadway, 72nd Street and Amsterdam Avenue (including Verdi Square and Sherman Square) on the Upper West Side of Manhattan. It is served by the 1, 2, and 3 trains at all times.
The 72nd Street station was constructed for the Interborough Rapid Transit Company (IRT) as part of the city's first subway line, which was approved in 1900. Construction of the line segment that includes the 72nd Street station began on August 22 of the same year. The station opened on October 27, 1904, as one of the original 28 stations of the New York City Subway. The 72nd Street station's platforms were lengthened in 1960 as part of an improvement project along the Broadway–Seventh Avenue Line. The station was built with a single head house south of 72nd Street, which provided the only exit and entrance to the complex. In 2002, the station was renovated and a second head house was built north of 72nd Street.
The 72nd Street station contains two island platforms and four tracks. The outer tracks are used by local trains while the inner two tracks are used by express trains. The interior of the station, as well as the original head house, are New York City designated landmarks and listed on the National Register of Historic Places. The northern head house contains elevators, which make the station compliant with the Americans with Disabilities Act of 1990.

",40.4642,-73.5857,POINT (-73.5857 40.4642)
79th Street Subway Station (IRT),https://en.wikipedia.org/wiki/79th_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line),04001018,40°47′01″N 73°58′50″W,Upper West Side,Subway station (1 and ​2 trains),1.0,"The 79th Street station is a local station on the IRT Broadway–Seventh Avenue Line of the New York City Subway. Located at the intersection of 79th Street and Broadway on the Upper West Side of Manhattan, it is served by the 1 train at all times and the 2 train during late nights.
The 79th Street station was constructed for the Interborough Rapid Transit Company (IRT) as part of the city's first subway line, which was approved in 1900. Construction of the line segment that includes the 79th Street station began on August 22 of the same year. The station opened on October 27, 1904, as one of the original 28 stations of the New York City Subway. The station's platforms have been lengthened since opening.
The 79th Street station contains two side platforms and four tracks; express trains use the inner two tracks to bypass the station. The station was built with tile and mosaic decorations, although most of the original design has been replaced with a cinder block design. The platforms contain exits to 79th Street and Broadway and are not connected to each other within fare control. The remaining portion of the original station interior is a New York City designated landmark and listed on the National Register of Historic Places.",40.4701,-73.585,POINT (-73.58499999999999 40.4701)
86th Street Subway Station (Dual System IRT),https://en.wikipedia.org/wiki/86th_Street_(IRT_Lexington_Avenue_Line),05000236,40°46′46″N 73°57′22″W,Upper East Side,"Subway station (4, ​5, ​6, and <6> trains)",1.0,"The 86th Street station is an express station on the IRT Lexington Avenue Line of the New York City Subway. Located at the intersection of Lexington Avenue and 86th Street on the Upper East Side, it is served by the 4 and 6 trains at all times, the 5 train at all times except late nights, and the <6> train during weekdays in peak direction.
The 86th Street station was constructed for the Interborough Rapid Transit Company (IRT) as part of the Dual Contracts. The station opened on July 17, 1918, as part of the IRT's Lexington Avenue and Jerome Avenue lines from Grand Central–42nd Street to 167th Street. The station's platforms were extended in the early 1960s. It was also renovated in the 1970s, in 1986, and from 2002 to 2004.
The 86th Street station contains four side platforms and four tracks, split across two levels. Local trains use the upper level, which has two tracks and two side platforms, while express trains use the lower level, which are arranged in the same layout. The station was built with tile and mosaic decorations. The upper platforms contain exits to Lexington Avenue and 86th Street, as well as stairs to and from the lower platforms. Unlike at most express stations, the respective pairs of northbound and southbound platforms are not connected to each other within fare control. The station interior is listed on the National Register of Historic Places.

",40.4646,-73.5722,POINT (-73.5722 40.4646)
American Museum of Natural History,https://en.wikipedia.org/wiki/American_Museum_of_Natural_History,76001235,40°46′53″N 73°58′28″W,Upper West Side,,1.0,"The American Museum of Natural History (abbreviated as AMNH) is a natural history museum on the Upper West Side of Manhattan, New York City. In Theodore Roosevelt Park, across the street from Central Park, the museum complex comprises 26 interconnected buildings housing 45 permanent exhibition halls, in addition to a planetarium and a library. The museum collections contain over 34 million specimens of plants, animals, fossils, minerals, rocks, meteorites, human remains, and human cultural artifacts, as well as specialized collections for frozen tissue and genomic and astrophysical data, of which only a small fraction can be displayed at any given time. The museum occupies more than 2 million square feet (190,000 m2). AMNH has a full-time scientific staff of 225, sponsors over 120 special field expeditions each year, and averages about five million visits annually.The mission statement of the American Museum of Natural History is: ""To discover, interpret, and disseminate—through scientific research and education—knowledge about human cultures, the natural world, and the universe.""",40.4653,-73.5828,POINT (-73.58280000000001 40.4653)
Ansonia Hotel,https://en.wikipedia.org/wiki/The_Ansonia,80002665,40°46′48″N 73°58′57″W,Upper West Side,,1.0,"The Ansonia is a building on the Upper West Side of Manhattan in New York City, located at 2109 Broadway, between 73rd and 74th Streets. It was originally built as a residential hotel by William Earle Dodge Stokes, the Phelps-Dodge copper heir and shareholder in the Ansonia Clock Company, and it was named after his grandfather, the industrialist Anson Greene Phelps. In 1897, Stokes commissioned French architect Paul Emile Duboy to design the grandest hotel in Manhattan.",40.4648,-73.5857,POINT (-73.5857 40.4648)
Apartment at 1261 Madison Avenue,https://en.wikipedia.org/w/index.php?title=Apartment_at_1261_Madison_Avenue&action=edit&redlink=1,82001185,40°47′00″N 73°57′25″W,Upper East Side,,0.0,,40.47,-73.5725,POINT (-73.57250000000001 40.47)
Apthorp Apartments,https://en.wikipedia.org/wiki/The_Apthorp,78001868,40°47′02″N 73°58′53″W,Upper West Side,,1.0,,40.4702,-73.5853,POINT (-73.5853 40.4702)
Association Residence Nursing Home,https://en.wikipedia.org/wiki/Association_Residence_Nursing_Home,75001201,40°47′55″N 73°58′01″W,Upper West Side,,1.0,"The Association Residence Nursing Home, also called the Association for the Relief of Respectable, Aged and Indigent Females, is an historic building in New York City built from 1881–1883 to the design of Richard Morris Hunt in the Victorian Gothic style. It is located on Amsterdam Avenue between 103rd and 104th Streets on the Upper West Side of Manhattan, and is now a hostel run by Hostelling International. The Association was founded in 1814 to help the widows of soldiers of the American Revolutionary War and the War of 1812. An addition to the building was constructed on the south end of the property in 1907, which contained seven Tiffany windows which are now in the collection of the Morse Museum of American Art. The building was placed on the National Register of Historic Places in 1975.",40.4755,-73.5801,POINT (-73.5801 40.4755)
George F. Baker Jr. and Sr. Houses,https://en.wikipedia.org/wiki/Francis_F._Palmer_House,82003367,40°47′06″N 73°57′15″W,Upper East Side,,1.0,,40.4706,-73.5715,POINT (-73.5715 40.4706)
James Baldwin House,https://en.wikipedia.org/w/index.php?title=James_Baldwin_House&action=edit&redlink=1,10000433,40°46′39″N 73°58′49″W,Upper West Side,Apartment within was home to African-American writer James Baldwin from 1965 until his death in 1987,0.0,"James Arthur Baldwin (August 2, 1924 – December 1, 1987) was an American writer and activist. As a writer, he garnered acclaim across various mediums, including essays, novels, plays, and poems. His first novel, Go Tell It On The Mountain, was published in 1953; decades later, Time Magazine included the novel on its list of the 100 best English-language novels released from 1923 to 2005. His first essay collection, Notes of a Native Son, was published in 1955.Baldwin's work fictionalizes fundamental personal questions and dilemmas amid complex social and psychological pressures. Themes of masculinity, sexuality, race, and class intertwine to create intricate narratives that run parallel with some of the major political movements toward social change in mid-twentieth century America, such as the civil rights movement and the gay liberation movement. Baldwin's protagonists are often but not exclusively African American, and gay and bisexual men frequently feature prominently in his literature. These characters often face internal and external obstacles in their search for social and self-acceptance. Such dynamics are prominent in Baldwin's second novel, Giovanni's Room, which was written in 1956, well before the gay liberation movement.His reputation has endured since his death and his work has been adapted for the screen to great acclaim. An unfinished manuscript, Remember This House, was expanded and adapted for cinema as the documentary film I Am Not Your Negro (2016), which was nominated for Best Documentary Feature at the 89th Academy Awards. One of his novels, If Beale Street Could Talk, was adapted into the Academy Award-winning film of the same name in 2018, directed and produced by Barry Jenkins.In addition to writing, Baldwin was also a well-known, and controversial, public figure and orator, especially during the civil rights movement in the United States.",40.4639,-73.5849,POINT (-73.5849 40.4639)
Barbizon Hotel for Women,https://en.wikipedia.org/wiki/Barbizon_Hotel_for_Women,82001186,40°45′53″N 73°57′58″W,Lenox Hill,,1.0,"The Barbizon (known since 2005 as Barbizon 63), is a building located at 140 East 63rd Street on the Upper East Side of Manhattan, New York City. It was for many decades a female-only residential hotel for young women who came to New York City for professional opportunities, but still wanted a ""safe retreat"" that felt like the family home.The Barbizon was added to the National Register of Historic Places in 1982, and was designated a city landmark by the New York City Landmarks Preservation Commission in 2012.",40.4553,-73.5758,POINT (-73.5758 40.4553)
Beacon Theater and Hotel,https://en.wikipedia.org/wiki/Beacon_Theater_and_Hotel,82001187,40°46′50″N 73°58′52″W,Upper West Side,,1.0,"The Beacon Theatre is a historic theater at 2124 Broadway (at West 74th Street) on Broadway in Upper West Side, Manhattan, New York City. The 2,894-seat, three-tiered theatre was designed by Chicago architect Walter W. Ahlschlager and opened in 1929 as a movie palace for motion pictures and vaudeville. Today it is one of New York's leading live music and entertainment venues, under the management of Madison Square Garden Entertainment. The theater was the site of the 2011, 2012, and 2016 Tony Awards.",40.465,-73.5852,POINT (-73.5852 40.465)
Belnord Apartments,https://en.wikipedia.org/wiki/Belnord_Apartments,80002670,40°47′18″N 73°58′34″W,Upper West Side,,1.0,"The Belnord is an apartment building on West 86th Street on the Upper West Side of Manhattan in New York City. It is a New York City Landmark and it was added to the National Register of Historic Places in 1980.It was designed in 1908 by the architectural firm of Hiss and Weekes. It is 13 stories tall and features Italian Renaissance style decorative elements. One of a handful of full-block apartment buildings in New York, it features two massive, two-story grand archways that provide entrance to an inner courtyard (one of the largest in the city) with landscaped gardens. Notable residents have included the writer Isaac Bashevis Singer, actor Zero Mostel and jazz impresario Art D'Lugoff.
The building was acquired by Extell Development Company in 1994 for $15 million. For the next 20 years, Extell fought to deregulate the building and remove its rent-stabilized status. In March 2015, the residential portion of the building was sold to the HFZ Capital Group for $575 million. HFZ hired architect Robert A. M. Stern to renovate 95 of the building's apartments, which would be sold as condos for a total value of over $1.35 billion.The Belnord was used for exterior shots as the fictional Arconia Building in the comedic murder mystery series, Only Murders in the Building.",40.4718,-73.5834,POINT (-73.5834 40.4718)
Building at 133 East 80th Street,https://en.wikipedia.org/w/index.php?title=Building_at_133_East_80th_Street&action=edit&redlink=1,10000553,40°46′33″N 73°57′31″W,Upper East Side,Architecturally distinctive building home to McGeorge Bundy and other notable public figures,0.0,"The New York City borough of Manhattan contains 214 numbered east–west streets ranging from 1st to 228th, the majority of them designated in the Commissioners' Plan of 1811. These streets do not run exactly east–west, because the grid plan is aligned with the Hudson River, rather than with the cardinal directions. Thus, the majority of the Manhattan grid's ""west"" is approximately 29 degrees north of true west; the angle differs above 155th Street, where the grid initially ended. The grid now covers the length of the island from 14th Street north.
All numbered streets carry an East or West prefix – for example, East 10th Street or West 10th Street – which is demarcated at Broadway below 8th Street, and at Fifth Avenue at 8th Street and above. The numbered streets carry crosstown traffic. In general, but with numerous exceptions, even-numbered streets are one-way eastbound and odd-numbered streets are one-way westbound. Most wider streets, and a few of the narrow ones, carry two-way traffic.
Although the numbered streets begin just north of East Houston Street in the East Village, they generally do not extend west into Greenwich Village, which already had established, named streets when the grid plan was laid out by the Commissioners' Plan of 1811. Some streets in that area that do continue farther west change direction before reaching the Hudson River.
The highest numbered street on Manhattan Island is 220th Street, but Marble Hill is also within the borough of Manhattan, so the highest street number in the borough is 228th Street. The numbering system continues in the Bronx, up to 263rd Street, though east of Van Cortlandt Park the system ends at 243rd Street. The lowest numbered street in Manhattan is East 1st Street, which runs through Alphabet City near East Houston Street. There is also a First Place in Battery Park City.",40.4633,-73.5731,POINT (-73.5731 40.4633)
Building at 210 East 68th Street,https://en.wikipedia.org/w/index.php?title=Building_at_210_East_68th_Street&action=edit&redlink=1,05000619,40°46′01″N 73°57′46″W,Lenox Hill,,0.0,"The New York City borough of Manhattan contains 214 numbered east–west streets ranging from 1st to 228th, the majority of them designated in the Commissioners' Plan of 1811. These streets do not run exactly east–west, because the grid plan is aligned with the Hudson River, rather than with the cardinal directions. Thus, the majority of the Manhattan grid's ""west"" is approximately 29 degrees north of true west; the angle differs above 155th Street, where the grid initially ended. The grid now covers the length of the island from 14th Street north.
All numbered streets carry an East or West prefix – for example, East 10th Street or West 10th Street – which is demarcated at Broadway below 8th Street, and at Fifth Avenue at 8th Street and above. The numbered streets carry crosstown traffic. In general, but with numerous exceptions, even-numbered streets are one-way eastbound and odd-numbered streets are one-way westbound. Most wider streets, and a few of the narrow ones, carry two-way traffic.
Although the numbered streets begin just north of East Houston Street in the East Village, they generally do not extend west into Greenwich Village, which already had established, named streets when the grid plan was laid out by the Commissioners' Plan of 1811. Some streets in that area that do continue farther west change direction before reaching the Hudson River.
The highest numbered street on Manhattan Island is 220th Street, but Marble Hill is also within the borough of Manhattan, so the highest street number in the borough is 228th Street. The numbering system continues in the Bronx, up to 263rd Street, though east of Van Cortlandt Park the system ends at 243rd Street. The lowest numbered street in Manhattan is East 1st Street, which runs through Alphabet City near East Houston Street. There is also a First Place in Battery Park City.",40.4601,-73.5746,POINT (-73.5746 40.4601)
Building at 45 East 66th Street,https://en.wikipedia.org/w/index.php?title=Building_at_45_East_66th_Street&action=edit&redlink=1,80002674,40°46′05″N 73°58′05″W,Lenox Hill,,0.0,66th Street is a crosstown street in the New York City borough of Manhattan with portions on the Upper East Side and Upper West Side connected across Central Park via the 66th Street transverse. West 66th Street is notable for hosting the Lincoln Center for the Performing Arts between Broadway and Columbus Avenue.,40.4605,-73.5805,POINT (-73.5805 40.4605)
James A. Burden House and Otto H. Kahn House,https://en.wikipedia.org/wiki/Convent_of_the_Sacred_Heart_(New_York_City),06000821,40°47′05″N 73°57′29″W,Carnegie Hill,Now the Convent of the Sacred Heart,1.0,"Convent of the Sacred Heart is an independent Roman Catholic all-girls school in the Manhattan borough of New York City. Teaching from pre-kindergarten through twelfth grade, it is located on Manhattan's Upper East Side at East 91st Street and Fifth Avenue.
The school is housed in the former Otto H. Kahn House and James A. Burden House, both of which are New York City-Designated Landmarks, and are listed on the National Register of Historic Places.",40.4705,-73.5729,POINT (-73.5729 40.4705)
Andrew Carnegie Mansion,https://en.wikipedia.org/wiki/Andrew_Carnegie_Mansion,66000536,40°47′04″N 73°57′29″W,Carnegie Hill,"Now the Cooper-Hewitt, National Design Museum",1.0,"The Andrew Carnegie Mansion is a historic house located at 2 East 91st Street at Fifth Avenue in the Upper East Side of Manhattan, New York City, New York. Andrew Carnegie moved into his newly completed mansion in late 1902 and lived there until his death in 1919; his wife, Louise, continued to live there until her death in 1946. The building is now the Cooper-Hewitt, Smithsonian Design Museum, part of the Smithsonian Institution. The surrounding area, part of the larger Upper East Side neighborhood, has come to be called Carnegie Hill. The mansion was named a National Historic Landmark in 1966.

",40.4704,-73.5729,POINT (-73.5729 40.4704)
Central Park,https://en.wikipedia.org/wiki/Central_Park,66000538,40°46′57″N 73°57′57″W,Manhattan,Park designed by Frederick Law Olmsted and Calvert Vaux is their best-known work. One of the world's most famous parks.,1.0,Park designed by Frederick Law Olmsted and Calvert Vaux is their best-known work. One of the world's most famous parks.,40.4657,-73.5757,POINT (-73.5757 40.4657)
Central Park West Historic District,https://en.wikipedia.org/wiki/Central_Park_West_Historic_District,82001189,40°46′44″N 73°58′32″W,Upper West Side,Unique and distinctive skyline over park,1.0,"The Central Park West Historic District is located in Manhattan, New York City, United States along historic Central Park West, between  61st and 97th Streets. The district was added to the National Register of Historic Places on November 9, 1982. The district encompasses a portion of the Upper West Side-Central Park West Historic District as designated by the New York City Landmarks Preservation Commission, and contains a number of prominent New York City landmarks, including The Dakota Apartments, a National Historic Landmark. The buildings date from the late 19th century to the early 1940s and exhibit a variety of architectural styles. The majority of the district's buildings are of neo-Italian Renaissance style, but Art Deco is a popular theme as well.",40.4644,-73.5832,POINT (-73.58320000000001 40.4644)
Central Savings Bank,https://en.wikipedia.org/wiki/Apple_Bank_for_Savings,83001720,40°46′47″N 73°58′52″W,Upper West Side,aka Apple Bank for Savings,1.0,"Apple Bank for Savings  is a Savings bank headquartered in Manhasset, New York and operating in the New York metropolitan area.

",40.4647,-73.5852,POINT (-73.5852 40.4647)
The Church of the Heavenly Rest and the Chapel of the Beloved Disciple,https://en.wikipedia.org/wiki/Church_of_the_Heavenly_Rest,10000621,40°46′44″N 73°57′34″W,Carnegie Hill,,1.0,"The St. Thomas More Church is part of a Roman Catholic church complex located on East 89th Street, off Madison Avenue on the Upper East Side in Manhattan, New York City. The parish is under the authority of the Archdiocese of New York. Attached to the complex is the church (1870), a single-cell chapel (1879), a rectory (1880), and a parish house (1893). The church was built for the Protestant Episcopal Church as the Chapel of the Beloved Disciple in the Gothic Revival architectural style. Under various names, the church building has been used by three Christian denominations, including Episcopalians, Dutch Reformed, and Catholics. It is the second-oldest church on the Upper East Side.",40.4644,-73.5734,POINT (-73.57340000000001 40.4644)
Church of St. Ignatius Loyola Complex,https://en.wikipedia.org/wiki/Church_of_St._Ignatius_Loyola_(New_York_City),80002679,40°46′44″N 73°57′34″W,Yorkville,,1.0,"The Church of St. Ignatius of Loyola is a Catholic parish church located on the Upper East Side of Manhattan, New York City, administered by the Society of Jesus (Jesuits). The parish is under the authority of the Archdiocese of New York, and was established in 1851 as St. Lawrence O'Toole's Church. In 1898, permission to change the patron saint of the parish from St. Lawrence O'Toole to St. Ignatius of Loyola was granted by Rome. The address is 980 Park Avenue, New York City, New York 10028. The church on the southwest corner of Park Avenue and 84th Street is part of a Jesuit complex on the block that includes Wallace Hall, the parish hall beneath the church, the rectory at the midblock location on Park Avenue, the grade school of St. Ignatius's School on the north midblock location of 84th Street behind the church and the high school of Loyola School (also 980 Park Avenue) at the northwest corner of Park Avenue and 83rd Street. In addition, another Jesuit high school, Regis High School (55 E 84th Street), occupies the midblock location on the north side of 84th Street.  The church was added to the National Register of Historic Places on July 24, 1980.

",40.4644,-73.5734,POINT (-73.57340000000001 40.4644)
Church of St. Paul the Apostle,https://en.wikipedia.org/wiki/Church_of_St._Paul_the_Apostle,91001723,40°46′11″N 73°59′07″W,Lincoln Square,,1.0,"The Church of St. Paul the Apostle is a Catholic church on the Upper West Side of Manhattan in New York City. It is the mother church of the Paulist Fathers, the first order of Catholic priests founded in the United States",40.4611,-73.5907,POINT (-73.5907 40.4611)
City and Suburban Homes Company's First Avenue Estate Historic District,https://en.wikipedia.org/w/index.php?title=City_and_Suburban_Homes_Company%27s_First_Avenue_Estate_Historic_District&action=edit&redlink=1,86002622,40°45′45″N 73°57′32″W,Lenox Hill,,0.0,"The Swiss Avenue Historic District is a residential neighborhood in East Dallas, Dallas, Texas (USA). It consists of installations of the Munger Place addition, one of East Dallas' early subdivisions. The Swiss Avenue Historic District is a historic district of the city of Dallas, Texas. The boundaries of the district comprise both sides of Swiss Avenue from Fitzhugh Street, to just north of La Vista, and includes portions of Bryan Parkway. The District includes the 6100-6200 blocks of La Vista Drive, the west side of the 5500 block of Bryan Parkway the 6100-6300 blocks of Bryan Parkway, the east side of the 5200-5300 block of Live Oak Street, and the 4900-6100 blocks of Swiss Avenue. The entire street of Swiss Avenue is not included within the bounds of the Swiss Avenue Historic District. Portions of the street run through Dallas' Peaks Suburban Addition neighborhood and Peak's Suburban Addition Historic District.",40.4545,-73.5732,POINT (-73.5732 40.4545)
City and Suburban Homes Company's York Avenue Estate and Shively Sanitary Tenements Historic District,https://en.wikipedia.org/w/index.php?title=City_and_Suburban_Homes_Company%27s_York_Avenue_Estate_and_Shively_Sanitary_Tenements_Historic_District&action=edit&redlink=1,86003823,40°46′13″N 73°56′59″W,Lenox Hill and Yorkville,,0.0,"The New York City Landmarks Preservation Commission (LPC), formed in 1965, is the New York City governmental commission that administers the city's Landmarks Preservation Law. Since its founding, it has designated over a thousand landmarks, classified into four categories: individual landmarks, interior landmarks, scenic landmarks, and historic districts.
The New York City borough of Manhattan contains many designated landmarks, interior landmarks and historic districts.  The section of Manhattan between 59th Street to 110th Street includes the Upper West Side, Upper East Side, and part of East Harlem.  It includes numerous individual landmarks and historic districts, as well as three scenic landmarks.  The following is an incomplete list.  Some of these are also National Historic Landmark (NHL) sites, and NHL status is noted where known.

source: [1]; [2]; date listed is date of designation;

",40.4613,-73.5659,POINT (-73.5659 40.4613)
Claremont Stables,https://en.wikipedia.org/wiki/Claremont_Stables,80002683,40°47′22″N 73°58′24″W,Upper West Side,,1.0,"The Claremont Riding Academy, originally Claremont Stables, 175 West 89th Street, between Columbus and Amsterdam Avenues on Manhattan's Upper West Side, was designed by Frank A. Rooke and built in 1892.  Closed in 2007, Claremont was the oldest continuously operated equestrian stable in New York City and the last public stable in Manhattan. The building was listed on the National Register of Historic Places in 1980 and designated a New York City Landmark in 1990. Since 2010, it has belonged to the Stephen Gaynor School.",40.4722,-73.5824,POINT (-73.58240000000001 40.4722)
Congregation B'nai Jeshurun Synagogue and Community House,https://en.wikipedia.org/wiki/Congregation_B%27nai_Jeshurun_Synagogue_and_Community_House,89000474,40°47′24″N 73°58′35″W,Upper West Side,,1.0,"B'nai Jeshurun is a synagogue on the Upper West Side of Manhattan, New York City.",40.4724,-73.5835,POINT (-73.5835 40.4724)
Congregation Ohab Zedek,https://en.wikipedia.org/wiki/Congregation_Ohab_Zedek,10000148,40°47′33″N 73°58′08″W,Upper West Side,,1.0,"Ohab Zedek, sometimes abbreviated as OZ, is an Orthodox Jewish synagogue in Manhattan, New York City noted for its lively, youthful congregation. Founded in 1873, it moved to its current location on West 95th Street in 1926. The current clergy are:  Rabbi Allen Schwartz, Senior Rabbi and Rabbi Jack Varon, assistant Rabbi.",40.4733,-73.5808,POINT (-73.5808 40.4733)
Control House on 72nd Street,https://en.wikipedia.org/wiki/Control_House_on_72nd_Street,80002684,40°46′42″N 73°58′57″W,Upper West Side,"Subway control house for the 1, ​2, and ​3 trains.",1.0,"The 72nd Street station is an express station on the IRT Broadway–Seventh Avenue Line of the New York City Subway, located at the intersection of Broadway, 72nd Street and Amsterdam Avenue (including Verdi Square and Sherman Square) on the Upper West Side of Manhattan. It is served by the 1, 2, and 3 trains at all times.
The 72nd Street station was constructed for the Interborough Rapid Transit Company (IRT) as part of the city's first subway line, which was approved in 1900. Construction of the line segment that includes the 72nd Street station began on August 22 of the same year. The station opened on October 27, 1904, as one of the original 28 stations of the New York City Subway. The 72nd Street station's platforms were lengthened in 1960 as part of an improvement project along the Broadway–Seventh Avenue Line. The station was built with a single head house south of 72nd Street, which provided the only exit and entrance to the complex. In 2002, the station was renovated and a second head house was built north of 72nd Street.
The 72nd Street station contains two island platforms and four tracks. The outer tracks are used by local trains while the inner two tracks are used by express trains. The interior of the station, as well as the original head house, are New York City designated landmarks and listed on the National Register of Historic Places. The northern head house contains elevators, which make the station compliant with the Americans with Disabilities Act of 1990.

",40.4642,-73.5857,POINT (-73.5857 40.4642)
Lucy Drexel Dahlgren House,https://en.wikipedia.org/wiki/Lucy_Drexel_Dahlgren_House,89000946,40°47′13″N 73°57′15″W,Carnegie Hill and East Harlem,,1.0,"The Lucy Drexel Dahlgren House is a historic home located at 15 East 96th Street between Fifth and Madison Avenues on the border between the Carnegie Hill and East Harlem neighborhoods of the Upper East Side of Manhattan, New York City.",40.4713,-73.5715,POINT (-73.5715 40.4713)
Dakota Apartments,https://en.wikipedia.org/wiki/Dakota_Apartments,72000869,40°46′36″N 73°58′35″W,Upper West Side,Architecturally distinctive late 19th-century apartment complex on Central Park; used for exteriors in Rosemary's Baby and site of John Lennon's murder.,1.0,"The Dakota, also known as the Dakota Apartments, is a cooperative apartment building on the northwest corner of 72nd Street and Central Park West in the Upper West Side of Manhattan in New York City, United States.  The Dakota was constructed between 1880 and 1884, and was designed by Henry Janeway Hardenbergh.
The Dakota has historically been home to many artists, actors, and musicians, including John Lennon, who was murdered in the archway of the building in 1980. The New York City Landmarks Preservation Commission designated the building as a city landmark in 1969, and it was added to the National Register of Historic Places in 1972.",40.4636,-73.5835,POINT (-73.5835 40.4636)
The Dorilton,https://en.wikipedia.org/wiki/The_Dorilton,83001723,40°46′41″N 73°58′55″W,Upper West Side,,1.0,"The Dorilton is a luxury residential housing cooperative in Manhattan, New York City. Construction began in 1900 and was completed by 1902.",40.4641,-73.5855,POINT (-73.5855 40.4641)
